"filename", "language", "C++", "Dart", "Markdown", "YAML", "Python", "PowerShell", "Swift", "JSON", "XML", "HTML", "Kotlinscript", "Java Properties", "Kotlin", "comment", "blank", "total"
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\lib\presentation\widgets\community_chats_button.dart", "Dart", 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 137
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\lib\presentation\widgets\filtered_text_field.dart", "Dart", 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 121
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\lib\presentation\widgets\others\community_chat_section_widget.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\lib\presentation\widgets\others\visitors_guide_widget.dart", "Dart", 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 123
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\lib\presentation\widgets\scrollViews\custom_list_widget.dart", "Dart", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 90
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\lib\presentation\widgets\scrollViews\items\event_card.dart", "Dart", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 109
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\lib\presentation\widgets\scrollViews\items\wallpaper_card.dart", "Dart", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 62
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\lib\presentation\widgets\scrollViews\wallpaper_carousel.dart", "Dart", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\lib\presentation\widgets\shop\cart_summary.dart", "Dart", 0, 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 191
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\lib\presentation\widgets\shop\confirmation_card.dart", "Dart", 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 156
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\lib\presentation\widgets\shop\shop_card.dart", "Dart", 0, 395, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 17, 422
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\lib\test_badge_images.dart", "Dart", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 80
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\lib\utils\app_logger.dart", "Dart", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 62
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\lib\utils\app_text_indexer.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 54
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\lib\utils\app_text_search.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 34
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\lib\utils\button_scanner.dart", "Dart", 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 23, 226
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\lib\utils\button_scanner_wrapper.dart", "Dart", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 14, 78
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\linux\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\linux\runner\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\linux\runner\my_application.cc", "C++", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\linux\runner\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 4, 19
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 68
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 1, 344
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\pubspec.yaml", "YAML", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 16, 141
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\scripts\check_database_status.py", "Python", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 47
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\scripts\check_db_schema.py", "Python", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 31
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\scripts\complete_migration.ps1", "PowerShell", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 5, 6, 37
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\scripts\database_setup.py", "Python", 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 13, 27, 193
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\scripts\populate_museum_activities.py", "Python", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 108
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\scripts\reset_database.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\scripts\setup_database.py", "Python", 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 122
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\test\README.md", "Markdown", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 103
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\test\model\generic\base_entity_model_test.dart", "Dart", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 17, 126
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\test\model\generic\details_model_test.dart", "Dart", 0, 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 33, 303
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\test\model\generic\money\money_extensions_test.dart", "Dart", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 22, 117
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\test\model\generic\supported_language_model_test.dart", "Dart", 0, 214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 37, 328
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\test\models\cart_utils_test.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 27
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\test\tabBarPages\shop_page_exceeding_tickets_test.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 43
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\test\ticket_service_test.dart", "Dart", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 68
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\test_badge_data.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 27
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\test_badge_system.dart", "Dart", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 73
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\test_debug.dart", "Dart", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 45
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 15, 5, 39
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 35
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\windows\flutter\generated_plugin_registrant.cc", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 543, 19936, 273, 88, 399, 26, 61, 643, 470, 567, 71, 8, 3, 1837, 2365, 27290
